;Vollaard_id;weight;micro_cat;micro_num;ripeness_cat;ripeness_num;cleaning_cat;cleaning_num;temperature;temp_cat;fresh_cat;fresh_num;fat_num;fat_cat;price_per_100g;price_cat;finalscore;top10;nottop10;atlantic;within30km;year2017;original_ID;name;address
139;275;77;Zeer goed;1;Gemiddeld;2;Zeer goed;1;3.3;1;vers;1;12;2;2.92;2;17.5;1;0;1;0;1;1;Vishandel Ruud den Haan;Oudedijk 145 - Rotterdam
140;281;71;Zeer goed;1;Gemiddeld;2;Zeer goed;1;1.9;1;vers;1;13.4;2;3.16;2;16.7;1;0;1;0;0;9;Vishandel Ruud den Haan;Oudedijk 145 - Rotterdam
73;167;66;Zeer goed;1;Gemiddeld;2;Zeer goed;1;4.7;1;vers;1;15.2;3;3.03;2;16;0;1;0;1;0;34;Vishandel Sannie Bont;Passage 77 - Nieuwegein
27;48;53;Zeer goed;1;Gemiddeld;2;Matig;3;7.1;2;nietvers;0;12.6;2;3.27;2;12.5;0;1;0;0;1;100;Vishandel Schot-Bout;Turfkade - Brielle
22;38;63;Waarschuwingsfase;4;Gemiddeld;2;Goed;2;13.9;3;nietvers;0;7.3;1;3.17;2;11;0;1;0;1;1;111;Vishandel Schuur;Poststraat 36 - Wildervank
136;273;61;Zeer goed;1;Gemiddeld;2;Zeer goed;1;2.6;1;vers;1;14.2;3;3.03;2;17.5;1;0;1;0;0;1;Vishandel Simonis;Visafslagweg 20 - Den Haag
143;283;76;Zeer goed;1;Gemiddeld;2;Zeer goed;1;2.5;1;vers;1;12.3;2;2.43;1;17.3;1;0;1;0;1;3;Vishandel Simonis;Visafslagweg 20 - Den Haag
30;54;69;Waarschuwingsfase;4;Sterk;3;Slecht;4;6.5;1;nietvers;0;10.6;2;2.53;1;7.5;0;1;0;1;1;141;Vishandel Smeets-Jonk;Verkoopwagen weekmarkt woensdag Kerkstraat - Born
16;26;68;Zeer goed;1;Gemiddeld;2;Matig;3;8.9;2;vers;1;14.2;3;2.94;2;13;0;1;0;1;1;90;Vishandel Sontplein;Sontplein 3 - Groningen
23;41;64;Goed;1;Gemiddeld;2;Matig;3;13.9;3;vers;1;7.9;1;3.12;2;11.5;0;1;0;1;1;106;Vishandel Tammenga;Verkoopwagen Borgsloot - Groningen
111;207;77;Goed;1;Gemiddeld;2;Zeer goed;1;6.4;1;vers;1;8.2;1;2.53;1;14.5;0;1;0;1;1;69;Vishandel Theo Muys;Dobbe 7 - Zwolle
11;21;61;Zeer goed;1;Gemiddeld;2;Matig;3;4.5;1;nietvers;0;13.2;2;3.03;2;9;0;1;0;1;1;128;Vishandel Timmerman;Verkoopwagen Petuniaplein - Zwolle
75;172;61;Goed;1;Gemiddeld;2;Goed;2;7.5;2;vers;1;9.4;1;3.19;2;14;0;1;0;0;0;74;Vishandel Van den Oever;Laan van Wateringse Veld 1557 - Den Haag
2;2;76;Zeer goed;1;Gemiddeld;2;Matig;3;4.1;1;vers;1;15.3;3;3.02;2;16;0;1;0;1;0;32;Vishandel Volendam (Godebaldkwartier Utrecht);Godebaldkwartier 80 - Utrecht
44;80;77;Zeer goed;1;Sterk;3;Zeer goed;1;5.3;1;vers;1;12.6;2;3.05;2;14.5;0;1;0;1;1;67;Vishandel Volendam (Zamenhofdreef Utrecht);Zamenhofdreef 31 - Utrecht
39;72;78;Zeer goed;1;Sterk;3;Goed;2;6.3;1;nietvers;0;9.7;1;3.14;2;11.5;0;1;0;1;1;107;Vishandel Volendam Kerkelanden;Kapittelweg 233 - Hilversum
24;53;76;Zeer goed;1;Gemiddeld;2;Goed;2;7.6;2;vers;1;13.1;2;2.96;2;15;0;1;0;1;0;50;Vishandel Vossole;1e Hogeweg 1 - Zeist
93;162;73;Zeer goed;1;Gemiddeld;2;Matig;3;8.5;2;vers;1;13;2;3.35;2;14;0;1;0;1;1;77;Vishandel Waninge;Walderstraat 27 - Lochem
101;183;68;Zeer goed;1;Sterk;3;Matig;3;6.9;1;nietvers;0;10.5;2;3.08;2;13;0;1;0;1;1;95;Vishandel Wennekes;Verkoopwagen parkeerterrein Jumbo ’s-Gravenwaardsedijk 78 a - Tolkamer
127;246;67;Zeer goed;1;Gemiddeld;2;Goed;2;6.9;1;vers;1;10.7;2;2.98;2;14.5;0;1;0;0;1;70;Vishoek Maru;Villapark - Rotterdam
115;214;68;Zeer goed;1;Gemiddeld;2;Matig;3;7.1;2;vers;1;13.7;2;3.67;3;14;0;1;0;1;1;75;Vislokaal;Soesterbergsestraat 31 - Soest
127;262;72;Waarschuwingsfase;4;Sterk;3;Goed;2;10.7;3;nietvers;0;8.7;1;3.12;2;11.5;0;1;0;1;0;102;Vispaleis 't Spil;t Spil 33a - Monnickendam
122;231;59;Zeer goed;1;Sterk;3;Goed;2;10.2;3;nietvers;0;9;1;3.38;2;9;0;1;0;1;1;127;Vispaleis Koelewijn;Vlijtseweg 184 - Apeldoorn
34;73;77;Zeer goed;1;Bedorven;4;Goed;2;11.1;3;nietvers;0;16.9;3;2.27;1;7.5;0;1;0;1;0;142;Vispaleis Westerhuis;Mello Coendersbuurt 1a - Termuntenzijl
87;152;49;Zeer goed;1;Sterk;3;Goed;2;13.6;3;vers;1;11.8;2;4.48;3;8;0;1;0;1;1;134;Visparadijs R. Emons;Frankenstraat 45 - Maastricht
58;136;55;Zeer goed;1;Gemiddeld;2;Goed;2;3.2;1;vers;1;11.7;2;4.18;3;11.5;0;1;0;1;0;108;Visplaza Roel Hopman;Van Weedestraat 149 - Soest
118;242;73;Zeer goed;1;Sterk;3;Goed;2;7.9;2;nietvers;0;15.4;3;2.73;1;12.5;0;1;0;1;0;90;Visscher's Zeevishandel;Weekmarkt vrijdag Melkmarkt - Zwolle
48;85;63;Voldoende;2;Gemiddeld;2;Matig;3;7.9;2;nietvers;0;12.4;2;3.17;2;12;0;1;0;1;1;101;Visshop De Noordkade;Noordkade 27 - Drachten
20;43;55;Zeer goed;1;Gemiddeld;2;Matig;3;6;1;vers;1;13.1;2;3.36;2;14.5;0;1;0;1;0;70;Visspeciaalzaak 't Visnet;Nieuwstraat 38 - Barneveld
8;16;57;Voldoende;2;Sterk;3;Matig;3;5.2;1;nietvers;0;8.8;1;3.33;2;11.5;0;1;0;0;0;109;Visspeciaalzaak Aan de Kant;Molendijk 20 - Oud Beijerland
34;65;74;Waarschuwingsfase;4;Gemiddeld;2;Goed;2;7.3;2;nietvers;0;10.8;2;3.04;2;13.5;0;1;0;1;1;82;Visspeciaalzaak Ans Klappe;Heidebloemstraat 57 - Nijmegen
116;240;68;Zeer goed;1;Sterk;3;Zeer goed;1;9;2;nietvers;0;8.6;1;3.67;3;9;0;1;0;1;0;124;Visspeciaalzaak Baarssen;Groenestraat 357 - Nijmegen
45;81;66;Zeer goed;1;Gemiddeld;2;Goed;2;4.7;1;vers;1;11.7;2;2.95;2;14.5;0;1;0;1;1;66;Visspeciaalzaak De Bleistarte;Schoolstraat 4 - Zwartsluis
120;247;59;Waarschuwingsfase;4;Sterk;3;Goed;2;8.9;2;nietvers;0;13.1;2;3.55;3;9.5;0;1;0;1;0;117;Visspeciaalzaak De Haan;Hoofdstraat 187 - Voorthuizen
140;277;62;Zeer goed;1;Groen;1;Zeer goed;1;5.6;1;vers;1;12.7;2;3.54;3;15;0;1;1;0;1;56;Visspeciaalzaak Gebroeders De Block;Raadhuisplein 57 a - Krimpen a/d IJssel
49;86;72;Zeer goed;1;Gemiddeld;2;Zeer goed;1;3.3;1;vers;1;11.7;2;3.72;3;16.3;0;1;0;1;1;21;Visspeciaalzaak Havenzicht (Breda);Lunenburgstraat 3 - Breda
134;270;62;Zeer goed;1;Gemiddeld;2;Zeer goed;1;3.9;1;vers;1;15.5;3;3.54;3;16.5;0;1;0;1;0;18;Visspeciaalzaak Havenzicht (Etten-Leur);Bisschopsmolenstraat 96 - Etten-Leur
47;108;61;Zeer goed;1;Gemiddeld;2;Zeer goed;1;4.6;1;vers;1;14;3;3.19;2;15.5;0;1;0;1;0;45;Visspeciaalzaak Van Reenen;Arkendonk 46 - Oosterhout
124;236;64;Zeer goed;1;Sterk;3;Goed;2;4.3;1;nietvers;0;6.4;1;3.51;3;11.5;0;1;0;1;1;103;Visspeciaalzaak Van Schoonhoven;Marktplein 11 - Bennekom
50;117;60;Zeer goed;1;Sterk;3;Matig;3;10.2;3;nietvers;0;11.8;2;3.25;2;8.5;0;1;0;1;0;127;Visspeciaalzaak Vistrend;Moerwijk 28 - Breda
1;3;58;Goed;1;Gemiddeld;2;Goed;2;9.8;2;vers;1;5.9;1;3.1;2;14.5;0;1;0;0;1;65;Visspecialist Bonito;Verkoopwagen Hobbemastraat - Maassluis
28;61;79;Zeer goed;1;Sterk;3;Matig;3;4.5;1;vers;1;15;3;2.53;1;13;0;1;0;1;0;86;Visspecialist Cees Bijlsma;Merk 23 - Workum
105;195;66;Zeer goed;1;Gemiddeld;2;Zeer goed;1;-1.2;1;vers;1;13.7;2;3.4;2;17.1;1;0;0;0;1;5;Visspecialist Corné Struik;Verkoopwagen parkeerterrein De Markte - Krimpen a/d Lek
22;50;53;Zeer goed;1;Gemiddeld;2;Zeer goed;1;4.5;1;vers;1;16.5;3;3.67;3;16.5;0;1;0;0;0;21;Visspecialist Hellevoetsluis;Struytse Hoeck 319a - Hellevoetsluis
82;143;58;Zeer goed;1;Gemiddeld;2;Zeer goed;1;7.2;2;vers;1;12.7;2;3.62;3;15;0;1;0;0;1;50;Visspecialist Hellevoetsluis;Struytse Hoeck 319 a - Hellevoetsluis
74;127;65;Zeer goed;1;Gemiddeld;2;Zeer goed;1;1.1;1;vers;1;11.7;2;3.46;2;16.3;0;1;0;0;1;19;Visspecialist Jaap Struik;Verkoopwagen Essendreef - Gouderak
88;191;57;Goed;1;Gemiddeld;2;Goed;2;6.2;1;vers;1;12.2;2;3.5;3;15;0;1;0;0;0;59;Visspecialist Klein Scheveningen;Simon Carmiggelthof 49 - Den Haag
111;234;56;Goed;1;Sterk;3;Matig;3;3.4;1;nietvers;0;6.9;1;3.57;3;8.5;0;1;0;1;0;130;Visspecialist Marc van Mierlo;Schootsestraat 172 - Eindhoven
138;274;75;Zeer goed;1;Licht;1;Zeer goed;1;5.6;1;vers;1;13.2;2;2.6;1;16.3;0;1;1;0;1;25;Visspecialist Martin den Heijer;Fahrenheitstraat 656 - Den Haag
141;285;54;Goed;1;Gemiddeld;2;Zeer goed;1;4.3;1;vers;1;18.8;3;3.7;3;16.5;0;1;1;0;0;20;Visspecialist Martin den Heijer;Fahrenheitstraat 656 - Den Haag
25;56;71;Zeer goed;1;Gemiddeld;2;Goed;2;-0.7;1;vers;1;15;3;3.16;2;15.5;0;1;0;1;0;43;Visspecialist Pasel;Dierenriemstraat 126 - Groningen
71;165;76;Waarschuwingsfase;4;Sterk;3;Goed;2;10.4;3;nietvers;0;9.6;1;2.89;2;9.5;0;1;0;1;0;116;Visspecialist Pieter Smit;Westermarkt 112 - Tilburg
128;263;49;Goed;1;Sterk;3;Goed;2;6.6;1;vers;1;14;3;3.87;3;12;0;1;0;0;0;101;Visspecialist R. Bijl;Broersveld 113b - Schiedam
4;6;72;Zeer goed;1;Licht;1;Goed;2;0.4;1;vers;1;14.1;3;3.12;2;16.3;0;1;0;0;1;16;Visspecialist Sluizeman;Baronie 90 - Alphen aan den Rijn
6;13;78;Zeer goed;1;Gemiddeld;2;Zeer goed;1;4.3;1;vers;1;9;1;2.88;2;17;1;0;0;0;0;8;Visspecialist Sluizeman;Baronie 90 - Alphen aan den Rijn
129;249;60;Goed;1;Gemiddeld;2;Matig;3;6.2;1;vers;1;7.2;1;3.33;2;14;0;1;0;0;1;79;Visspecialist Spijkenisse;Winterakker 27 - Spijkenisse
43;101;61;Zeer goed;1;Gemiddeld;2;Zeer goed;1;2.1;1;vers;1;12.3;2;3.03;2;16.5;0;1;0;0;0;13;Visspecialist Stevenshof;Stevensbloem 163 - Leiden
5;12;65;Zeer goed;1;Gemiddeld;2;Zeer goed;1;-0.9;1;vers;1;14.7;3;3.23;2;16.7;1;0;0;0;0;10;Visspecialist Struik;Verkoopwagen vrijdag Maenstand - Ouderkerk aan den IJssel
63;148;64;Zeer goed;1;Sterk;3;Zeer goed;1;8.9;2;vers;1;10.3;2;3.67;3;15.5;0;1;0;1;0;42;Visspecialist Theo Tax;Promenade 35-37 - Malden
10;20;55;Zeer goed;1;Licht;1;Zeer goed;1;5.1;1;vers;1;11.3;2;3.54;3;15.5;0;1;0;1;0;46;Visspecialist Van Lopik;Piazza Center 27 - Gorinchem
71;122;61;Zeer goed;1;Gemiddeld;2;Goed;2;4.7;1;vers;1;7.7;1;3.19;2;15.5;0;1;0;1;1;42;Visspecialist Van Lopik;Piazza Center 27 - Gorinchem
66;115;76;Zeer goed;1;Gemiddeld;2;Zeer goed;1;5.9;1;vers;1;13.5;2;2.82;1;16;0;1;0;0;1;32;Visspecialisten Kees en Chantal Sloot;Keizerswaard 12 - Rotterdam
42;99;72;Voldoende;2;Sterk;3;Goed;2;8.2;2;nietvers;0;14.1;3;2.91;2;13;0;1;0;1;0;84;Visspecialiteiten 't Vers Waard;Raadhuisstraat 20 - Heerhugowaard
33;70;65;Zeer goed;1;Gemiddeld;2;Zeer goed;1;0.7;1;vers;1;13;2;3.46;2;16.5;0;1;0;1;0;16;Visspecialiteiten 't Vissertje;Mercatorplein 105 - Apeldoorn
47;83;77;Zeer goed;1;Gemiddeld;2;Zeer goed;1;10.5;3;vers;1;11.4;2;2.9;2;11.5;0;1;0;0;1;105;Visspecialiteiten De Oceaan;Plein 1953-1 - Rotterdam
59;104;65;Zeer goed;1;Sterk;3;Slecht;4;14.3;3;nietvers;0;12.8;2;3.46;2;7.5;0;1;0;1;1;138;Visspecialiteiten Tom Brummel;Verkoopwagen Linie - Apeldoorn
79;179;64;Goed;1;Sterk;3;Goed;2;13.7;3;nietvers;0;9.8;1;2.73;1;9.5;0;1;0;1;0;123;Vistaria 't Vrolijke Maatje;Verkoopwagen De Wending - Delfzijl
108;203;80;Zeer goed;1;Gemiddeld;2;Zeer goed;1;4.1;1;vers;1;12.6;2;2.81;1;16.6;1;0;0;1;1;10;Vistaria Schaap;Ootmarsumsestraat 296 - Almelo
97;209;66;Zeer goed;1;Gemiddeld;2;Zeer goed;1;7.3;2;vers;1;14.4;3;3.4;2;15.5;0;1;0;1;0;40;Vistaria Schaap;Ootmarsumsestraat 296 - Almelo
27;60;45;Voldoende;2;Gemiddeld;2;Zeer goed;1;5.8;1;vers;1;11.6;2;4.44;3;16.7;0;1;0;0;0;12;Viswinkel De Lange;Marcelisstraat 37b - Den Haag
80;138;57;Zeer goed;1;Licht;1;Zeer goed;1;5.6;1;vers;1;13.2;2;3.5;3;16.9;1;0;0;0;1;7;Viswinkel De Lange;Marcelisstraat 37b - Den Haag
62;147;72;Zeer goed;1;Gemiddeld;2;Goed;2;8.2;2;vers;1;14.3;3;2.7;1;15;0;1;0;1;0;51;Viswinkel De Noordzee;Spoorsingel 73 - Beverwijk
92;161;85;Goed;1;Gemiddeld;2;Goed;2;13.4;3;nietvers;0;12.9;2;2.35;1;10.5;0;1;0;1;1;116;Volendammer Vishandel Jan Plat;Verkoopwagen parkeerterrein Stationsweg 3 - Broek op Langedijk
53;92;63;Zeer goed;1;Gemiddeld;2;Zeer goed;1;9.4;2;vers;1;12.9;2;2.94;2;16;0;1;0;1;1;29;Volendammer Vishandel Johan Schilder;Europaboulevard 361 - Alkmaar
122;255;79;Zeer goed;1;Gemiddeld;2;Zeer goed;1;4.1;1;vers;1;13;2;2.53;1;16.5;0;1;0;1;0;19;Volendammer Vishandel Johan Schilder;Europaboulevard 361 - Alkmaar
143;288;66;Zeer goed;1;Gemiddeld;2;Zeer goed;1;4.2;1;vers;1;14.6;3;2.95;2;17.3;1;0;1;0;0;3;Volendammer Vishandel Koning;Bogaardplein 10 - Rijswijk
147;291;74;Zeer goed;1;Gemiddeld;2;Zeer goed;1;2.9;1;vers;1;11.6;2;2.7;1;16.8;1;0;1;0;1;8;Volendammer Vishandel Koning;Bogaardplein 10 - Rijswijk
125;243;88;Zeer goed;1;Gemiddeld;2;Goed;2;-2.2;1;vers;1;11.7;2;2.55;1;15;0;1;0;1;1;52;Volendammer Vishandel Kroon;Globeplein 67 - Almere
96;169;59;Voldoende;2;Gemiddeld;2;Matig;3;6.1;1;vers;1;10.5;2;3.38;2;13;0;1;0;0;1;94;Volendammer Vishandel Plat & Tol (Quirinegang Zoetermeer);Quirinegang 81 - Zoetermeer
29;62;76;Zeer goed;1;Gemiddeld;2;Zeer goed;1;6.9;1;vers;1;12.7;2;2.56;1;15;0;1;0;0;0;62;Volendammer Vishandel Plat & Tol (Westwaarts Zoetermeer);Westwaarts 76 - Zoetermeer
94;164;68;Waarschuwingsfase;4;Gemiddeld;2;Zeer goed;1;2.8;1;vers;1;14.8;3;3.23;2;16.5;0;1;0;1;1;11;Volendammer Vishandel Sanny Bont;Passage 77 - Nieuwegein
40;74;73;Zeer goed;1;Sterk;3;Matig;3;6.5;1;nietvers;0;11.6;2;3.15;2;11.5;0;1;0;1;1;108;Volendammer Vishandel Sier;Landstraat 34 - Bussum
78;134;86;Goed;1;Gemiddeld;2;Zeer goed;1;5.3;1;vers;1;12.2;2;2.55;1;16;0;1;0;1;1;31;Volendammer Vishandel Snoek;Helmholtzstraat 56 - Amsterdam
73;126;78;Goed;1;Gemiddeld;2;Zeer goed;1;7.4;2;nietvers;0;13.9;2;3.52;3;13.5;0;1;0;1;1;83;Volendammer Vishandel Tol;De Huesmolen 74 - Hoorn
61;107;79;Zeer goed;1;Gemiddeld;2;Zeer goed;1;1.7;1;vers;1;11.1;2;2.84;2;15.5;0;1;0;1;1;40;Volendammer Vispaleis Tol;Brockwaystraat 1 - Haarlem
18;30;71;Goed;1;Gemiddeld;2;Matig;3;10.4;3;nietvers;0;10.6;2;2.81;1;10;0;1;0;1;1;121;Volendammer Visspecialist Steur;De Middend 232 a - Bovenkarspel
13;23;72;Goed;1;Gemiddeld;2;Zeer goed;1;4.1;1;vers;1;10.4;2;3.15;2;16.3;0;1;0;1;1;23;Volendammer Visspecialist Tom Tuijp;Middenburcht 7 - Vleuten
31;64;75;Zeer goed;1;Gemiddeld;2;Zeer goed;1;2.2;1;vers;1;14.1;3;3.06;2;17;1;0;0;1;0;4;Volendammer Visspecialist Tom Tuijp;Middenburcht 7 - Vleuten
112;208;71;Waarschuwingsfase;4;Sterk;3;Goed;2;8.3;2;nietvers;0;8.9;1;3.09;2;11.5;0;1;0;0;1;104;XL Vis;De Stede 21 - Den Haag
104;223;67;Waarschuwingsfase;4;Sterk;3;Goed;2;10.8;3;vers;1;10.9;2;3.35;2;10.5;0;1;0;1;0;110;Zeevishandel Brassem;t Groentje 4 - Domburg
30;63;63;Zeer goed;1;Gemiddeld;2;Zeer goed;1;-1.4;1;vers;1;14;3;3.96;3;16.5;0;1;0;1;0;17;Zeevishandel De Botter;Hessenweg 185a - De Bilt
45;103;61;Zeer goed;1;Sterk;3;Goed;2;6.3;1;vers;1;9.6;1;3.68;3;13;0;1;0;1;0;88;Zeevishandel De Graafschap;Prins Bernhardweg: parkeerterrein AH - Lochem
29;52;65;Slecht;3;Gemiddeld;2;Slecht;4;6.1;1;vers;1;10.5;2;3.46;2;12.5;0;1;0;1;1;96;Zeevishandel Kees Heinen;Verkoopwagen dinsdag Waardenburglaan - Tiel
76;173;67;Zeer goed;1;Gemiddeld;2;Zeer goed;1;3.6;1;vers;1;12.7;2;2.98;2;16;0;1;0;0;0;31;Zeevishandel Kees Vrolijk;Lange Tiendeweg 61 - Gouda
37;68;60;Zeer goed;1;Gemiddeld;2;Matig;3;9.1;2;nietvers;0;9.9;1;3.33;2;10.5;0;1;0;0;1;119;Zeevishandel Van Doornik;Verkoopwagen dagmarkt dinsdag - Gouda
108;229;66;Afkeurenswaardig;5;Gemiddeld;2;Matig;3;9.8;2;vers;1;18.1;3;2.95;2;7.5;0;1;0;0;0;134;Zeevishandel W. van Oosten;Buitenwatersloot 43 - Delft